"Source:","/home/masta/Desktop/projects/PIV_DeniseAdap/PIV_DeniseAdap.sch"
"Date:","So 31 Mai 2020 21:09:02 CEST"
"Tool:","Eeschema 5.1.5"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","10"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","100n","Device:C_Small","Capacitors_SMD:C_0805_HandSoldering","~"
"","","C2","100n","Device:C_Small","Capacitors_SMD:C_0805_HandSoldering","~"
"","","C3","100n","Device:C_Small","Capacitors_SMD:C_0805_HandSoldering","~"
"","","IC1","DENISE_DIP","Amiga:DENISE_DIP","Amiga:Amiga-DIP48-DENISE",""
"","","IC2","DENISE_DIP","Amiga:DENISE_DIP","Amiga:Amiga-DIP48-DENISE",""
"","","J1","Conn_02x08_Odd_Even","connect:Conn_02x08_Odd_Even","Pin_Headers:Pin_Header_Straight_2x08_Pitch2.54mm","~"
"","","J2","Conn_02x13_Odd_Even","connect:Conn_02x13_Odd_Even","Pin_Headers:Pin_Header_Straight_2x13_Pitch2.54mm","~"
"","","U1","74ABT32","74xx:74LS32","footprints:SN74ABT125NSR","https://www.nexperia.com/products/analog-logic-ics/control-logic/gates/or-gates/74ABT32D.html"
"","","U2","74ABT574","74xx:74LS574","footprints:SN74ABT574ANSR","https://www.ti.com/store/ti/en/p/product/?p=SN74ABT574ANSR"
"","","U3","74ABT574","74xx:74LS574","footprints:SN74ABT574ANSR","https://www.ti.com/store/ti/en/p/product/?p=SN74ABT574ANSR"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","3","C1, C2, C3","100n","Device:C_Small","Capacitors_SMD:C_0805_HandSoldering","~"
"2","2","IC1, IC2","DENISE_DIP","Amiga:DENISE_DIP","Amiga:Amiga-DIP48-DENISE",""
"3","1","J1","Conn_02x08_Odd_Even","connect:Conn_02x08_Odd_Even","Pin_Headers:Pin_Header_Straight_2x08_Pitch2.54mm","~"
"4","1","J2","Conn_02x13_Odd_Even","connect:Conn_02x13_Odd_Even","Pin_Headers:Pin_Header_Straight_2x13_Pitch2.54mm","~"
"5","1","U1","74ABT32","74xx:74LS32","footprints:SN74ABT125NSR","https://www.nexperia.com/products/analog-logic-ics/control-logic/gates/or-gates/74ABT32D.html"
"6","2","U2, U3","74ABT574","74xx:74LS574","footprints:SN74ABT574ANSR","https://www.ti.com/store/ti/en/p/product/?p=SN74ABT574ANSR"
